STT,Mẫu xe,Mã phiên bản,Tên phiên bản,Mã màu ngoại thất,Tên màu ngoại thất,Mã nội thất,Tên nội thất,Giá chính xác (đ),Giá cơ bản phiên bản (đ),Chênh lệch giá theo màu (đ),Có sẵn,PID,optionsName,Công suất tối đa,Quãng đường,Chiều dài cơ sở,Tùy chọn nâng cấp (giá tăng thêm)
21,VF 3,TI1BV,Plus,CE18,Infinity Blanc,CI11,Black,296.000.000,304.000.000,-8.000.000,Có,VF-ZVEH-EI13_1024-TI1BV-CE18-CI11,,30 kW,215 km,,
22,VF 3,TI1BV,Plus,1821,Rose Pink Body - Infinity Blanc Roof,CI11,Black,304.000.000,304.000.000,0,Có,VF-ZVEH-EI13_1024-TI1BV-1821-CI11,,30 kW,215 km,,
23,VF 5,GA12V,Plus,181Y,Sky Blue - Infinity Blanc Roof,CI11,Granite Black,504.000.000,504.000.000,0,Có,VF-ZVEH-EA15_2023-GA12V-181Y-CI11,,134 hp/100 kW,"326,4 km (NEDC)",2.514 mm,
24,VF 5,GA12V,Plus,CE2Q,Solar Ruby,CI11,Granite Black,496.000.000,504.000.000,-8.000.000,Có,VF-ZVEH-EA15_2023-GA12V-CE2Q-CI11,,134 hp/100 kW,"326,4 km (NEDC)",2.514 mm,
25,VF 5,GA12V,Plus,111U,Summer Yellow Body - Jet Black Roof,CI11,Granite Black,504.000.000,504.000.000,0,Có,VF-ZVEH-EA15_2023-GA12V-111U-CI11,,134 hp/100 kW,"326,4 km (NEDC)",2.514 mm,
26,VF 5,GA12V,Plus,CE1W,Urban Mint,CI11,Granite Black,504.000.000,504.000.000,0,Có,VF-ZVEH-EA15_2023-GA12V-CE1W-CI11,,134 hp/100 kW,"326,4 km (NEDC)",2.514 mm,
27,VF 5,GA12V,Plus,CE1V,Zenith Grey,CI11,Granite Black,496.000.000,504.000.000,-8.000.000,Có,VF-ZVEH-EA15_2023-GA12V-CE1V-CI11,,134 hp/100 kW,"326,4 km (NEDC)",2.514 mm,
28,VF 5,GA12V,Plus,CE18,Infinity Blanc,CI11,Granite Black,496.000.000,504.000.000,-8.000.000,Có,VF-ZVEH-EA15_2023-GA12V-CE18-CI11,,134 hp/100 kW,"326,4 km (NEDC)",2.514 mm,
29,VF 6,JB10V,Eco,CE18,Infinity Blanc,CI11,Black,646.000.000,646.000.000,0,Không,VF-ZVEH-EB15_2023-JB10V-CE18-CI11,,174 hp/130 kW,485 km (NEDC),2.730 mm,
30,VF 6,JB10V,Eco,CE11,Jet Black,CI11,Black,646.000.000,646.000.000,0,Không,VF-ZVEH-EB15_2023-JB10V-CE11-CI11,,174 hp/130 kW,485 km (NEDC),2.730 mm,
31,VF 6,JB10V,Eco,CE11,Jet Black,CI13,Cotton Beige,646.000.000,646.000.000,0,Không,VF-ZVEH-EB15_2023-JB10V-CE11-CI13,,174 hp/130 kW,485 km (NEDC),2.730 mm,
32,VF 6,JB10V,Eco,CE1V,Zenith Grey,CI11,Black,646.000.000,646.000.000,0,Không,VF-ZVEH-EB15_2023-JB10V-CE1V-CI11,,174 hp/130 kW,485 km (NEDC),2.730 mm,
33,VF 6,JB10V,Eco,CE1W,Urban Mint,CI11,Black,654.000.000,646.000.000,8.000.000,Không,VF-ZVEH-EB15_2023-JB10V-CE1W-CI11,,174 hp/130 kW,485 km (NEDC),2.730 mm,
34,VF 6,JB10V,Eco,CE2Q,Solar Ruby,CI13,Cotton Beige,646.000.000,646.000.000,0,Có,VF-ZVEH-EB15_2023-JB10V-CE2Q-CI13,,174 hp/130 kW,485 km (NEDC),2.730 mm,
35,VF 6,JB10V,Eco,CE2Q,Solar Ruby,CI11,Black,646.000.000,646.000.000,0,Có,VF-ZVEH-EB15_2023-JB10V-CE2Q-CI11,,174 hp/130 kW,485 km (NEDC),2.730 mm,
36,VF 6,JB12V,Plus,CE18,Infinity Blanc,CI18,Mocca Brown,699.000.000,699.000.000,0,Không,VF-ZVEH-EB15_2023-JB12V-CE18-CI18,,201 hp/150 kW,460 km (NEDC),2.730 mm,
37,VF 6,JB12V,Plus,CE11,Jet Black,CI13,Cotton Beige,699.000.000,699.000.000,0,Không,VF-ZVEH-EB15_2023-JB12V-CE11-CI13,,201 hp/150 kW,460 km (NEDC),2.730 mm,
38,VF 6,JB12V,Plus,CE11,Jet Black,CI18,Mocca Brown,699.000.000,699.000.000,0,Không,VF-ZVEH-EB15_2023-JB12V-CE11-CI18,,201 hp/150 kW,460 km (NEDC),2.730 mm,
39,VF 6,JB12V,Plus,CE1V,Zenith Grey,CI18,Mocca Brown,699.000.000,699.000.000,0,Không,VF-ZVEH-EB15_2023-JB12V-CE1V-CI11,,201 hp/150 kW,460 km (NEDC),2.730 mm,
40,VF 6,JB12V,Plus,CE1W,Urban Mint,CI18,Mocca Brown,707.000.000,699.000.000,8.000.000,Không,VF-ZVEH-EB15_2023-JB12V-CE1W-CI18,,201 hp/150 kW,460 km (NEDC),2.730 mm,
41,VF 6,JB12V,Plus,CE2Q,Solar Ruby,CI13,Cotton Beige,699.000.000,699.000.000,0,Có,VF-ZVEH-EB15_2023-JB12V-CE2Q-CI13,,201 hp/150 kW,460 km (NEDC),2.730 mm,
42,VF 7,GC15V,Eco,CE11,Jet Black,CI13,Cotton Beige,740.000.000,740.000.000,0,Không,VF-ZVEH-EC15_2023-GC15V-CE11-CI13,,174 hp/130 kW,440 km (NEDC),2.840 mm,
43,VF 7,GC15V,Eco,CE11,Jet Black,CI11,Black,740.000.000,740.000.000,0,Không,VF-ZVEH-EC15_2023-GC15V-CE11-CI11,,174 hp/130 kW,440 km (NEDC),2.840 mm,
44,VF 7,GC15V,Eco,CE2Q,Solar Ruby,CI11,Black,740.000.000,740.000.000,0,Có,VF-ZVEH-EC15_2023-GC15V-CE2Q-CI11,,174 hp/130 kW,440 km (NEDC),2.840 mm,
45,VF 7,GC15V,Eco,CE2Q,Solar Ruby,CI13,Cotton Beige,740.000.000,740.000.000,0,Có,VF-ZVEH-EC15_2023-GC15V-CE2Q-CI13,,174 hp/130 kW,440 km (NEDC),2.840 mm,
46,VF 7,GC15V,Eco,CE1W,Urban Mint,CI11,Black,752.000.000,740.000.000,12.000.000,Không,VF-ZVEH-EC15_2023-GC15V-CE1W-CI11,,174 hp/130 kW,440 km (NEDC),2.840 mm,
47,VF 7,GC15V,Eco,CE1V,Zenith Grey,CI11,Black,740.000.000,740.000.000,0,Không,VF-ZVEH-EC15_2023-GC15V-CE1V-CI11,,174 hp/130 kW,440 km (NEDC),2.840 mm,
48,VF 7,GC15V,Eco,CE18,Infinity Blanc,CI11,Black,740.000.000,740.000.000,0,Có,VF-ZVEH-EC15_2023-GC15V-CE18-CI11,,174 hp/130 kW,440 km (NEDC),2.840 mm,
49,VF 7,GC12V,Plus,CE11,Jet Black,CI18,Mocca Brown,830.000.000,830.000.000,0,Có,VF-ZVEH-EC15_2023-GC12V-CE11-CI18,,201 hp/150 kW,"500,5 km (NEDC)",2.840 mm,
50,VF 7,GC12V,Plus,CE11,Jet Black,CI13,Cotton Beige,830.000.000,830.000.000,0,Có,VF-ZVEH-EC15_2023-GC12V-CE11-CI13,,201 hp/150 kW,"500,5 km (NEDC)",2.840 mm,
51,VF 7,GC12V,Plus,CE2Q,Solar Ruby,CI13,Cotton Beige,830.000.000,830.000.000,0,Có,VF-ZVEH-EC15_2023-GC12V-CE2Q-CI13,,201 hp/150 kW,"500,5 km (NEDC)",2.840 mm,
52,VF 7,GC12V,Plus,CE1W,Urban Mint,CI18,Mocca Brown,842.000.000,830.000.000,12.000.000,Không,VF-ZVEH-EC15_2023-GC12V-CE1W-CI18,,201 hp/150 kW,"500,5 km (NEDC)",2.840 mm,
53,VF 7,GC12V,Plus,CE1V,Zenith Grey,CI18,Mocca Brown,830.000.000,830.000.000,0,Không,VF-ZVEH-EC15_2023-GC12V-CE1V-CI18,,201 hp/150 kW,"500,5 km (NEDC)",2.840 mm,
54,VF 7,GC12V,Plus,CE18,Infinity Blanc,CI18,Mocca Brown,830.000.000,830.000.000,0,Có,VF-ZVEH-EC15_2023-GC12V-CE18-CI18,,201 hp/150 kW,"500,5 km (NEDC)",2.840 mm,
55,VF 7,GC12V_CR151,Plus,CE11,Jet Black,CI18,Mocca Brown,850.000.000,850.000.000,0,Có,VF-ZVEH-EC15_2023-GC12V-CE11-CI18,Trần kính toàn cảnh (+20.000.000đ),201 hp/150 kW,"500,5 km (NEDC)",2.840 mm,Trần kính toàn cảnh (+20.000.000đ)
56,VF 7,GC12V_CR151,Plus,CE11,Jet Black,CI13,Cotton Beige,850.000.000,850.000.000,0,Có,VF-ZVEH-EC15_2023-GC12V-CE11-CI13,Trần kính toàn cảnh (+20.000.000đ),201 hp/150 kW,"500,5 km (NEDC)",2.840 mm,Trần kính toàn cảnh (+20.000.000đ)
57,VF 7,GC12V_CR151,Plus,CE2Q,Solar Ruby,CI13,Cotton Beige,850.000.000,850.000.000,0,Có,VF-ZVEH-EC15_2023-GC12V-CE2Q-CI13,Trần kính toàn cảnh (+20.000.000đ),201 hp/150 kW,"500,5 km (NEDC)",2.840 mm,Trần kính toàn cảnh (+20.000.000đ)
58,VF 7,GC12V_CR151,Plus,CE1W,Urban Mint,CI18,Mocca Brown,862.000.000,850.000.000,12.000.000,Không,VF-ZVEH-EC15_2023-GC12V-CE1W-CI18,Trần kính toàn cảnh (+20.000.000đ),201 hp/150 kW,"500,5 km (NEDC)",2.840 mm,Trần kính toàn cảnh (+20.000.000đ)
59,VF 7,GC12V_CR151,Plus,CE1V,Zenith Grey,CI18,Mocca Brown,850.000.000,850.000.000,0,Không,VF-ZVEH-EC15_2023-GC12V-CE1V-CI18,Trần kính toàn cảnh (+20.000.000đ),201 hp/150 kW,"500,5 km (NEDC)",2.840 mm,Trần kính toàn cảnh (+20.000.000đ)
60,VF 7,GC12V_CR151,Plus,CE18,Infinity Blanc,CI18,Mocca Brown,850.000.000,850.000.000,0,Có,VF-ZVEH-EC15_2023-GC12V-CE18-CI18,Trần kính toàn cảnh (+20.000.000đ),201 hp/150 kW,"500,5 km (NEDC)",2.840 mm,Trần kính toàn cảnh (+20.000.000đ)
61,VF 7,GC12V_T023,Plus,CE11,Jet Black,CI18,Mocca Brown,879.000.000,879.000.000,0,Có,VF-ZVEH-EC15_2023-GC12V-CE11-CI18,"Hai cầu (AWD, 2 động cơ) (+49.000.000đ)",349 hp/260 kW,469 km (NEDC),2.840 mm,"Hai cầu (AWD, 2 động cơ) (+49.000.000đ)"
62,VF 7,GC12V_T023,Plus,CE11,Jet Black,CI13,Cotton Beige,879.000.000,879.000.000,0,Có,VF-ZVEH-EC15_2023-GC12V-CE11-CI13,"Hai cầu (AWD, 2 động cơ) (+49.000.000đ)",349 hp/260 kW,469 km (NEDC),2.840 mm,"Hai cầu (AWD, 2 động cơ) (+49.000.000đ)"
63,VF 7,GC12V_T023,Plus,CE2Q,Solar Ruby,CI13,Cotton Beige,879.000.000,879.000.000,0,Có,VF-ZVEH-EC15_2023-GC12V-CE2Q-CI13,"Hai cầu (AWD, 2 động cơ) (+49.000.000đ)",349 hp/260 kW,469 km (NEDC),2.840 mm,"Hai cầu (AWD, 2 động cơ) (+49.000.000đ)"
64,VF 7,GC12V_T023,Plus,CE1W,Urban Mint,CI18,Mocca Brown,891.000.000,879.000.000,12.000.000,Không,VF-ZVEH-EC15_2023-GC12V-CE1W-CI18,"Hai cầu (AWD, 2 động cơ) (+49.000.000đ)",349 hp/260 kW,469 km (NEDC),2.840 mm,"Hai cầu (AWD, 2 động cơ) (+49.000.000đ)"
65,VF 7,GC12V_T023,Plus,CE1V,Zenith Grey,CI18,Mocca Brown,879.000.000,879.000.000,0,Không,VF-ZVEH-EC15_2023-GC12V-CE1V-CI18,"Hai cầu (AWD, 2 động cơ) (+49.000.000đ)",349 hp/260 kW,469 km (NEDC),2.840 mm,"Hai cầu (AWD, 2 động cơ) (+49.000.000đ)"
66,VF 7,GC12V_T023,Plus,CE18,Infinity Blanc,CI18,Mocca Brown,879.000.000,879.000.000,0,Có,VF-ZVEH-EC15_2023-GC12V-CE18-CI18,"Hai cầu (AWD, 2 động cơ) (+49.000.000đ)",349 hp/260 kW,469 km (NEDC),2.840 mm,"Hai cầu (AWD, 2 động cơ) (+49.000.000đ)"
67,VF 7,GC12V_CR151_T023,Plus,CE11,Jet Black,CI18,Mocca Brown,899.000.000,899.000.000,0,Có,VF-ZVEH-EC15_2023-GC12V-CE11-CI18,"Trần kính toàn cảnh (+20.000.000đ); Hai cầu (AWD, 2 động cơ) (+49.000.000đ)",349 hp/260 kW,469 km (NEDC),2.840 mm,"Trần kính toàn cảnh (+20.000.000đ); Hai cầu (AWD, 2 động cơ) (+49.000.000đ)"
68,VF 7,GC12V_CR151_T023,Plus,CE11,Jet Black,CI13,Cotton Beige,899.000.000,899.000.000,0,Có,VF-ZVEH-EC15_2023-GC12V-CE11-CI13,"Trần kính toàn cảnh (+20.000.000đ); Hai cầu (AWD, 2 động cơ) (+49.000.000đ)",349 hp/260 kW,469 km (NEDC),2.840 mm,"Trần kính toàn cảnh (+20.000.000đ); Hai cầu (AWD, 2 động cơ) (+49.000.000đ)"
69,VF 7,GC12V_CR151_T023,Plus,CE2Q,Solar Ruby,CI13,Cotton Beige,899.000.000,899.000.000,0,Có,VF-ZVEH-EC15_2023-GC12V-CE2Q-CI13,"Trần kính toàn cảnh (+20.000.000đ); Hai cầu (AWD, 2 động cơ) (+49.000.000đ)",349 hp/260 kW,469 km (NEDC),2.840 mm,"Trần kính toàn cảnh (+20.000.000đ); Hai cầu (AWD, 2 động cơ) (+49.000.000đ)"
70,VF 7,GC12V_CR151_T023,Plus,CE1W,Urban Mint,CI18,Mocca Brown,911.000.000,899.000.000,12.000.000,Không,VF-ZVEH-EC15_2023-GC12V-CE1W-CI18,"Trần kính toàn cảnh (+20.000.000đ); Hai cầu (AWD, 2 động cơ) (+49.000.000đ)",349 hp/260 kW,469 km (NEDC),2.840 mm,"Trần kính toàn cảnh (+20.000.000đ); Hai cầu (AWD, 2 động cơ) (+49.000.000đ)"
71,VF 7,GC12V_CR151_T023,Plus,CE1V,Zenith Grey,CI18,Mocca Brown,899.000.000,899.000.000,0,Không,VF-ZVEH-EC15_2023-GC12V-CE1V-CI18,"Trần kính toàn cảnh (+20.000.000đ); Hai cầu (AWD, 2 động cơ) (+49.000.000đ)",349 hp/260 kW,469 km (NEDC),2.840 mm,"Trần kính toàn cảnh (+20.000.000đ); Hai cầu (AWD, 2 động cơ) (+49.000.000đ)"
72,VF 7,GC12V_CR151_T023,Plus,CE18,Infinity Blanc,CI18,Mocca Brown,899.000.000,899.000.000,0,Có,VF-ZVEH-EC15_2023-GC12V-CE18-CI18,"Trần kính toàn cảnh (+20.000.000đ); Hai cầu (AWD, 2 động cơ) (+49.000.000đ)",349 hp/260 kW,469 km (NEDC),2.840 mm,"Trần kính toàn cảnh (+20.000.000đ); Hai cầu (AWD, 2 động cơ) (+49.000.000đ)"
73,VF 8,ND31V,Eco,CE18,Infinity Blanc,CI11,Granite Black,898.000.000,898.000.000,0,Có,VF-ZVEH-PD1U_2023-ND31V-CE18-CI11,,201 hp/150 kW,562 km (NEDC),2.950 mm,
74,VF 8,ND31V,Eco,CE1M,Crimson Red,CI11,Granite Black,898.000.000,898.000.000,0,Có,VF-ZVEH-PD1U_2023-ND31V-CE1M-CI11,,201 hp/150 kW,562 km (NEDC),2.950 mm,
75,VF 8,ND31V,Eco,CE11,Jet Black,CI11,Granite Black,898.000.000,898.000.000,0,Có,VF-ZVEH-PD1U_2023-ND31V-CE11-CI11,,201 hp/150 kW,562 km (NEDC),2.950 mm,
76,VF 8,ND31V,Eco,171V,Zenith Grey - Desat Silver Roof,CI11,Granite Black,910.000.000,898.000.000,12.000.000,Không,VF-ZVEH-PD1U_2023-ND31V-171V-CI11,,201 hp/150 kW,562 km (NEDC),2.950 mm,
77,VF 8,ND31V,Eco,CE22,Ivy Green,CI11,Granite Black,898.000.000,898.000.000,0,Không,VF-ZVEH-PD1U_2023-ND31V-CE22-CI11,,201 hp/150 kW,562 km (NEDC),2.950 mm,
78,VF 8,ND31V,Eco,1V18,Infinity Blanc - Zenith Grey Roof,CI11,Granite Black,910.000.000,898.000.000,12.000.000,Không,VF-ZVEH-PD1U_2023-ND31V-1V18-CI11,,201 hp/150 kW,562 km (NEDC),2.950 mm,
79,VF 8,ND31V,Eco,2927,Crimson Velvet - Mystery Bronze Roof,CI11,Granite Black,910.000.000,898.000.000,12.000.000,Không,VF-ZVEH-PD1U_2023-ND31V-2927-CI11,,201 hp/150 kW,562 km (NEDC),2.950 mm,
80,VF 8,ND31V,Eco,2911,Jet Black - Mystery Bronze Roof,CI11,Granite Black,910.000.000,898.000.000,12.000.000,Không,VF-ZVEH-PD1U_2023-ND31V-2911-CI11,,201 hp/150 kW,562 km (NEDC),2.950 mm,
81,VF 8,ND32V,Plus,CE18,Infinity Blanc,CI11,Granite Black,1.079.000.000,1.079.000.000,0,Có,VF-ZVEH-PD1U_2023-ND32V-CE18-CI11,,402 hp/300 kW,457 km (WLTP),2.950 mm,
82,VF 8,ND32V,Plus,CE18,Infinity Blanc,CI12,Saddle Brown,1.079.000.000,1.079.000.000,0,Có,VF-ZVEH-PD1U_2023-ND32V-CE18-CI12,,402 hp/300 kW,457 km (WLTP),2.950 mm,
83,VF 8,ND32V,Plus,CE1M,Crimson Red,CI11,Granite Black,1.079.000.000,1.079.000.000,0,Có,VF-ZVEH-PD1U_2023-ND32V-CE1M-CI11,,402 hp/300 kW,457 km (WLTP),2.950 mm,
84,VF 8,ND32V,Plus,CE11,Jet Black,CI11,Granite Black,1.079.000.000,1.079.000.000,0,Có,VF-ZVEH-PD1U_2023-ND32V-CE11-CI11,,402 hp/300 kW,457 km (WLTP),2.950 mm,
85,VF 8,ND32V,Plus,CE11,Jet Black,CI12,Saddle Brown,1.079.000.000,1.079.000.000,0,Có,VF-ZVEH-PD1U_2023-ND32V-CE11-CI12,,402 hp/300 kW,457 km (WLTP),2.950 mm,
86,VF 8,ND32V,Plus,171V,Zenith Grey - Desat Silver Roof,CI11,Granite Black,1.091.000.000,1.079.000.000,12.000.000,Không,VF-ZVEH-PD1U_2023-ND32V-171V-CI11,,402 hp/300 kW,457 km (WLTP),2.950 mm,
87,VF 8,ND32V,Plus,171V,Zenith Grey - Desat Silver Roof,CI12,Saddle Brown,1.091.000.000,1.079.000.000,12.000.000,Không,VF-ZVEH-PD1U_2023-ND32V-171V-CI12,,402 hp/300 kW,457 km (WLTP),2.950 mm,
88,VF 8,ND32V,Plus,CE22,Ivy Green,CI12,Saddle Brown,1.079.000.000,1.079.000.000,0,Không,VF-ZVEH-PD1U_2023-ND32V-CE22-CI12,,402 hp/300 kW,457 km (WLTP),2.950 mm,
89,VF 8,ND32V,Plus,CE22,Ivy Green,CI11,Granite Black,1.079.000.000,1.079.000.000,0,Không,VF-ZVEH-PD1U_2023-ND32V-CE22-CI11,,402 hp/300 kW,457 km (WLTP),2.950 mm,
90,VF 8,ND32V,Plus,1V18,Infinity Blanc - Zenith Grey Roof,CI12,Saddle Brown,1.091.000.000,1.079.000.000,12.000.000,Không,VF-ZVEH-PD1U_2023-ND32V-1V18-CI12,,402 hp/300 kW,457 km (WLTP),2.950 mm,
91,VF 8,ND32V,Plus,1V18,Infinity Blanc - Zenith Grey Roof,CI11,Granite Black,1.091.000.000,1.079.000.000,12.000.000,Không,VF-ZVEH-PD1U_2023-ND32V-1V18-CI11,,402 hp/300 kW,457 km (WLTP),2.950 mm,
92,VF 8,ND32V,Plus,2927,Crimson Velvet - Mystery Bronze Roof,CI11,Granite Black,1.091.000.000,1.079.000.000,12.000.000,Không,VF-ZVEH-PD1U_2023-ND32V-2927-CI11,,402 hp/300 kW,457 km (WLTP),2.950 mm,
93,VF 8,ND32V,Plus,2927,Crimson Velvet - Mystery Bronze Roof,CI12,Saddle Brown,1.091.000.000,1.079.000.000,12.000.000,Không,VF-ZVEH-PD1U_2023-ND32V-2927-CI12,,402 hp/300 kW,457 km (WLTP),2.950 mm,
94,VF 8,ND32V,Plus,2911,Jet Black - Mystery Bronze Roof,CI11,Granite Black,1.091.000.000,1.079.000.000,12.000.000,Không,VF-ZVEH-PD1U_2023-ND32V-2911-CI11,,402 hp/300 kW,457 km (WLTP),2.950 mm,
95,VF 8,ND32V,Plus,2911,Jet Black - Mystery Bronze Roof,CI12,Saddle Brown,1.091.000.000,1.079.000.000,12.000.000,Không,VF-ZVEH-PD1U_2023-ND32V-2911-CI12,,402 hp/300 kW,457 km (WLTP),2.950 mm,
96,VF 9,NE3LV,Eco,CE18,Infinity Blanc,CI11,Granite Black,1.348.000.000,1.348.000.000,0,Có,VF-ZVEH-PE1U_2023-NE3LV-CE18-CI11,,402 hp/300 kW,626 km,3.149 mm,
97,VF 9,NE3LV,Eco,CE1M,Crimson Red,CI11,Granite Black,1.348.000.000,1.348.000.000,0,Có,VF-ZVEH-PE1U_2023-NE3LV-CE1M-CI11,,402 hp/300 kW,626 km,3.149 mm,
98,VF 9,NE3LV,Eco,CE1M,Crimson Red,CI13,Cotton Beige,1.348.000.000,1.348.000.000,0,Có,VF-ZVEH-PE1U_2023-NE3LV-CE1M-CI13,,402 hp/300 kW,626 km,3.149 mm,
99,VF 9,NE3LV,Eco,CE1W,Urban Mint,CI11,Granite Black,1.348.000.000,1.348.000.000,0,Không,VF-ZVEH-PE1U_2023-NE3LV-CE1W-CI11,,402 hp/300 kW,626 km,3.149 mm,
100,VF 9,NE3LV,Eco,CE11,Jet Black,CI11,Granite Black,1.348.000.000,1.348.000.000,0,Có,VF-ZVEH-PE1U_2023-NE3LV-CE11-CI11,,402 hp/300 kW,626 km,3.149 mm,
101,VF 9,NE3LV,Eco,CE11,Jet Black,CI13,Cotton Beige,1.348.000.000,1.348.000.000,0,Có,VF-ZVEH-PE1U_2023-NE3LV-CE11-CI13,,402 hp/300 kW,626 km,3.149 mm,
102,VF 9,NE3LV,Eco,CE22,Ivy Green,CI11,Granite Black,1.360.000.000,1.348.000.000,12.000.000,Không,VF-ZVEH-PE1U_2023-NE3LV-CE22-CI11,,402 hp/300 kW,626 km,3.149 mm,
103,VF 9,NE3LV,Eco,CE22,Ivy Green,CI13,Cotton Beige,1.360.000.000,1.348.000.000,12.000.000,Không,VF-ZVEH-PE1U_2023-NE3LV-CE22-CI13,,402 hp/300 kW,626 km,3.149 mm,
104,VF 9,NE3LV,Eco,CE1V,Zenith Grey,CI11,Granite Black,1.348.000.000,1.348.000.000,0,Không,VF-ZVEH-PE1U_2023-NE3LV-CE1V-CI11,,402 hp/300 kW,626 km,3.149 mm,
105,VF 9,NE3LV,Eco,CE17,Desat Silver,CI11,Granite Black,1.360.000.000,1.348.000.000,12.000.000,Không,VF-ZVEH-PE1U_2023-NE3LV-CE17-CI11,,402 hp/300 kW,626 km,3.149 mm,
106,VF 9,NE3MV,Plus tùy chọn 7 chỗ,CE18,Infinity Blanc,CI12,Saddle Brown,1.529.000.000,1.529.000.000,0,Có,VF-ZVEH-PE1U_2023-NE3MV-CE18-CI12,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
